Product URL,Product Name,Price,Rating,Reviews
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1679486446&sprefix=ba%2Caps%2C358&sr=8-23,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,131",4.3,"5,170"
https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1679486446&sprefix=ba%2Caps%2C358&sr=8-24,F Gear Luxur Brown 25 liter Laptop Backpack (2404),"1,032",4.4,"16,471"
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1679486446&sprefix=ba%2Caps%2C358&sr=8-25,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",799,3.9,"2,431"
https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1679486446&sprefix=ba%2Caps%2C358&sr=8-26,Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port,799,4.0,"10,759"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTUzNTQ1NjExODU4NDg5OjE2Nzk0ODY0NDY6c3BfbXRmOjIwMTIxOTcyMjYwNTk4OjowOjo&url=%2FEUME-Propine-Massager-Backpack-Charging%2Fdp%2FB085GDV195%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679486446%26sprefix%3Dba%252Caps%252C358%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DAPBFC7AMQ4Q38,EUME Propine 22Ltrs Massager Laptop Backpack with Built-in Massager Technology | Fit Upto 15.6 Inch Laptop for Office & Travel | Black Color,"3,499",4.1,45
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTUzNTQ1NjExODU4NDg5OjE2Nzk0ODY0NDY6c3BfbXRmOjIwMTE0NDE0MjI5Nzk4OjowOjo&url=%2FEUME-Virgo-29Ltr-Laptop-Backpack%2Fdp%2FB08R58K6QX%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679486446%26sprefix%3Dba%252Caps%252C358%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DAPBFC7AMQ4Q38,EUME Virgo 29L Laptop Backpack for Office & Travel | Water Resistance | Fit Up to 15.6-inch Laptop,"1,299",4.1,498
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1679486446&sprefix=ba%2Caps%2C358&sr=8-29,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",312,4.1,"8,168"
https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WNFN1XS/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1679486446&sprefix=ba%2Caps%2C358&sr=8-30,Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,799,4.0,"12,992"
https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1679486446&sprefix=ba%2Caps%2C358&sr=8-31,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,239,4.0,"3,119"
https://www.amazon.in/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847PGZZM/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1679486446&sprefix=ba%2Caps%2C358&sr=8-32,TRAWOC 80L Travel Backpack for Men & Women Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack,"2,380",4.4,"6,928"
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1679486446&sprefix=ba%2Caps%2C358&sr=8-33,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",799,4.1,495
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1679486446&sprefix=ba%2Caps%2C358&sr=8-34,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",929,3.9,752
